ID	Name	UIID	AttriName	Attribute1ID	Attribute1Value1	Attribute1Value2	Score	DiamondType1	Compare1	DiamondCount1	DiamondIntensity1	Attribute2ID	Attribute2Value1	Attribute2Value2	DiamondType2	Compare2	DiamondCount2	DiamondIntensity2	Attribute3ID	Attribute3Value1	Attribute3Value2	DiamondType3	Compare3	DiamondCount3	DiamondIntensity3	ScriptName	Attribute4ID	Attribute4Value1	Attribute4Value2	RepresentIndex	RepresentID	Time	DestItemSubType	TabType	TabIndex	PackageSize	MapInvalidMask	BelongKungfuID
2319	彩·浴火·烈阳·日炎(陆)	31890		atSolarCriticalDamagePowerBase	293	293	0	5	3	14	50	atSolarAttackPowerBase	314	314	5	3	16	90	atSolarOvercomeBase	1170	1170	5	3	18	108									5	0			
2320	彩·浴火·日炎·烈阳(壹)	31891		atSolarCriticalDamagePowerBase	49	49	0	5	3	5	10	atSolarOvercomeBase	98	98	5	3	6	45	atSolarAttackPowerBase	105	105	5	3	8	57									5	13892			
2321	彩·浴火·日炎·烈阳(贰)	31892		atSolarCriticalDamagePowerBase	98	98	0	5	3	7	20	atSolarOvercomeBase	195	195	5	3	8	50	atSolarAttackPowerBase	210	210	5	3	10	62									5	13893			
2322	彩·浴火·日炎·烈阳(叁)	31893		atSolarCriticalDamagePowerBase	146	146	0	5	3	9	30	atSolarOvercomeBase	293	293	5	3	10	55	atSolarAttackPowerBase	314	314	5	3	12	67									5	13894			
2323	彩·浴火·日炎·烈阳(肆)	31894		atSolarCriticalDamagePowerBase	195	195	0	5	3	11	40	atSolarOvercomeBase	390	390	5	3	12	60	atSolarAttackPowerBase	419	419	5	3	14	72									5	13895			
2324	彩·浴火·日炎·烈阳(伍)	31895		atSolarCriticalDamagePowerBase	244	244	0	5	3	13	45	atSolarOvercomeBase	488	488	5	3	14	75	atSolarAttackPowerBase	524	524	5	3	16	90									5	13896			
2325	彩·浴火·日炎·烈阳(陆)	31896		atSolarCriticalDamagePowerBase	293	293	0	5	3	14	50	atSolarOvercomeBase	585	585	5	3	16	90	atSolarAttackPowerBase	629	629	5	3	18	108									5	0			
2326	彩·浴火·大化·烈阳(壹)	31897		atSolarCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atSolarAttackPowerBase	105	105	5	3	8	57									5	13898			
2327	彩·浴火·大化·烈阳(贰)	31898		atSolarCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atSolarAttackPowerBase	210	210	5	3	10	62									5	13899			
2328	彩·浴火·大化·烈阳(叁)	31899		atSolarCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atSolarAttackPowerBase	314	314	5	3	12	67									5	13900			
2329	彩·浴火·大化·烈阳(肆)	31900		atSolarCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atSolarAttackPowerBase	419	419	5	3	14	72									5	13901			
2330	彩·浴火·大化·烈阳(伍)	31901		atSolarCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atSolarAttackPowerBase	524	524	5	3	16	90									5	13902			
2331	彩·浴火·大化·烈阳(陆)	31902		atSolarCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atSolarAttackPowerBase	629	629	5	3	18	108									5	0			
2332	彩·浴火·大化·日炎(壹)	31903		atSolarCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atSolarOvercomeBase	195	195	5	3	8	57									5	13904			
2333	彩·浴火·大化·日炎(贰)	31904		atSolarCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atSolarOvercomeBase	390	390	5	3	10	62									5	13905			
2334	彩·浴火·大化·日炎(叁)	31905		atSolarCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atSolarOvercomeBase	585	585	5	3	12	67									5	13906			
2335	彩·浴火·大化·日炎(肆)	31906		atSolarCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atSolarOvercomeBase	780	780	5	3	14	72									5	13907			
2336	彩·浴火·大化·日炎(伍)	31907		atSolarCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atSolarOvercomeBase	975	975	5	3	16	90									5	13908			
2337	彩·浴火·大化·日炎(陆)	31908		atSolarCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atSolarOvercomeBase	1170	1170	5	3	18	108									5	0			
2338	彩·霹雳·雷鸣·混沌(壹)	31909		atNeutralCriticalDamagePowerBase	49	49	0	5	3	5	10	atNeutralAttackPowerBase	52	52	5	3	6	45	atNeutralOvercomeBase	195	195	5	3	8	57									5	13910			
2339	彩·霹雳·雷鸣·混沌(贰)	31910		atNeutralCriticalDamagePowerBase	98	98	0	5	3	7	20	atNeutralAttackPowerBase	105	105	5	3	8	50	atNeutralOvercomeBase	390	390	5	3	10	62									5	13911			
2340	彩·霹雳·雷鸣·混沌(叁)	31911		atNeutralCriticalDamagePowerBase	146	146	0	5	3	9	30	atNeutralAttackPowerBase	157	157	5	3	10	55	atNeutralOvercomeBase	585	585	5	3	12	67									5	13912			
2341	彩·霹雳·雷鸣·混沌(肆)	31912		atNeutralCriticalDamagePowerBase	195	195	0	5	3	11	40	atNeutralAttackPowerBase	210	210	5	3	12	60	atNeutralOvercomeBase	780	780	5	3	14	72									5	13913			
2342	彩·霹雳·雷鸣·混沌(伍)	31913		atNeutralCriticalDamagePowerBase	244	244	0	5	3	13	45	atNeutralAttackPowerBase	262	262	5	3	14	75	atNeutralOvercomeBase	975	975	5	3	16	90									5	13914			
2343	彩·霹雳·雷鸣·混沌(陆)	31914		atNeutralCriticalDamagePowerBase	293	293	0	5	3	14	50	atNeutralAttackPowerBase	314	314	5	3	16	90	atNeutralOvercomeBase	1170	1170	5	3	18	108									5	0			
2344	彩·霹雳·混沌·雷鸣(壹)	31915		atNeutralCriticalDamagePowerBase	49	49	0	5	3	5	10	atNeutralOvercomeBase	98	98	5	3	6	45	atNeutralAttackPowerBase	105	105	5	3	8	57									5	13916			
2345	彩·霹雳·混沌·雷鸣(贰)	31916		atNeutralCriticalDamagePowerBase	98	98	0	5	3	7	20	atNeutralOvercomeBase	195	195	5	3	8	50	atNeutralAttackPowerBase	210	210	5	3	10	62									5	13917			
2346	彩·霹雳·混沌·雷鸣(叁)	31917		atNeutralCriticalDamagePowerBase	146	146	0	5	3	9	30	atNeutralOvercomeBase	293	293	5	3	10	55	atNeutralAttackPowerBase	314	314	5	3	12	67									5	13918			
2347	彩·霹雳·混沌·雷鸣(肆)	31918		atNeutralCriticalDamagePowerBase	195	195	0	5	3	11	40	atNeutralOvercomeBase	390	390	5	3	12	60	atNeutralAttackPowerBase	419	419	5	3	14	72									5	13919			
2348	彩·霹雳·混沌·雷鸣(伍)	31919		atNeutralCriticalDamagePowerBase	244	244	0	5	3	13	45	atNeutralOvercomeBase	488	488	5	3	14	75	atNeutralAttackPowerBase	524	524	5	3	16	90									5	13920			
2349	彩·霹雳·混沌·雷鸣(陆)	31920		atNeutralCriticalDamagePowerBase	293	293	0	5	3	14	50	atNeutralOvercomeBase	585	585	5	3	16	90	atNeutralAttackPowerBase	629	629	5	3	18	108									5	0			
2350	彩·霹雳·大化·雷鸣(壹)	31921		atNeutralCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atNeutralAttackPowerBase	105	105	5	3	8	57									5	13922			
2351	彩·霹雳·大化·雷鸣(贰)	31922		atNeutralCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atNeutralAttackPowerBase	210	210	5	3	10	62									5	13923			
2352	彩·霹雳·大化·雷鸣(叁)	31923		atNeutralCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atNeutralAttackPowerBase	314	314	5	3	12	67									5	13924			
2353	彩·霹雳·大化·雷鸣(肆)	31924		atNeutralCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atNeutralAttackPowerBase	419	419	5	3	14	72									5	13925			
2354	彩·霹雳·大化·雷鸣(伍)	31925		atNeutralCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atNeutralAttackPowerBase	524	524	5	3	16	90									5	13926			
2355	彩·霹雳·大化·雷鸣(陆)	31926		atNeutralCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atNeutralAttackPowerBase	629	629	5	3	18	108									5	0			
2356	彩·霹雳·大化·混沌(壹)	31927		atNeutralCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atNeutralOvercomeBase	195	195	5	3	8	57									5	13928			
2357	彩·霹雳·大化·混沌(贰)	31928		atNeutralCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atNeutralOvercomeBase	390	390	5	3	10	62									5	13929			
2358	彩·霹雳·大化·混沌(叁)	31929		atNeutralCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atNeutralOvercomeBase	585	585	5	3	12	67									5	13930			
2359	彩·霹雳·大化·混沌(肆)	31930		atNeutralCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atNeutralOvercomeBase	780	780	5	3	14	72									5	13931			
2360	彩·霹雳·大化·混沌(伍)	31931		atNeutralCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atNeutralOvercomeBase	975	975	5	3	16	90									5	13932			
2361	彩·霹雳·大化·混沌(陆)	31932		atNeutralCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atNeutralOvercomeBase	1170	1170	5	3	18	108									5	0			
2362	彩·杯雪·霜冷·冻髓(壹)	31933		atLunarCriticalDamagePowerBase	49	49	0	5	3	5	10	atLunarAttackPowerBase	52	52	5	3	6	45	atLunarOvercomeBase	195	195	5	3	8	57									5	13934			
2363	彩·杯雪·霜冷·冻髓(贰)	31934		atLunarCriticalDamagePowerBase	98	98	0	5	3	7	20	atLunarAttackPowerBase	105	105	5	3	8	50	atLunarOvercomeBase	390	390	5	3	10	62									5	13935			
2364	彩·杯雪·霜冷·冻髓(叁)	31935		atLunarCriticalDamagePowerBase	146	146	0	5	3	9	30	atLunarAttackPowerBase	157	157	5	3	10	55	atLunarOvercomeBase	585	585	5	3	12	67									5	13936			
2365	彩·杯雪·霜冷·冻髓(肆)	31936		atLunarCriticalDamagePowerBase	195	195	0	5	3	11	40	atLunarAttackPowerBase	210	210	5	3	12	60	atLunarOvercomeBase	780	780	5	3	14	72									5	13937			
2366	彩·杯雪·霜冷·冻髓(伍)	31937		atLunarCriticalDamagePowerBase	244	244	0	5	3	13	45	atLunarAttackPowerBase	262	262	5	3	14	75	atLunarOvercomeBase	975	975	5	3	16	90									5	13938			
2367	彩·杯雪·霜冷·冻髓(陆)	31938		atLunarCriticalDamagePowerBase	293	293	0	5	3	14	50	atLunarAttackPowerBase	314	314	5	3	16	90	atLunarOvercomeBase	1170	1170	5	3	18	108									5	0			
2368	彩·杯雪·冻髓·霜冷(壹)	31939		atLunarCriticalDamagePowerBase	49	49	0	5	3	5	10	atLunarOvercomeBase	98	98	5	3	6	45	atLunarAttackPowerBase	105	105	5	3	8	57									5	13940			
2369	彩·杯雪·冻髓·霜冷(贰)	31940		atLunarCriticalDamagePowerBase	98	98	0	5	3	7	20	atLunarOvercomeBase	195	195	5	3	8	50	atLunarAttackPowerBase	210	210	5	3	10	62									5	13941			
2370	彩·杯雪·冻髓·霜冷(叁)	31941		atLunarCriticalDamagePowerBase	146	146	0	5	3	9	30	atLunarOvercomeBase	293	293	5	3	10	55	atLunarAttackPowerBase	314	314	5	3	12	67									5	13942			
2371	彩·杯雪·冻髓·霜冷(肆)	31942		atLunarCriticalDamagePowerBase	195	195	0	5	3	11	40	atLunarOvercomeBase	390	390	5	3	12	60	atLunarAttackPowerBase	419	419	5	3	14	72									5	13943			
2372	彩·杯雪·冻髓·霜冷(伍)	31943		atLunarCriticalDamagePowerBase	244	244	0	5	3	13	45	atLunarOvercomeBase	488	488	5	3	14	75	atLunarAttackPowerBase	524	524	5	3	16	90									5	13944			
2373	彩·杯雪·冻髓·霜冷(陆)	31944		atLunarCriticalDamagePowerBase	293	293	0	5	3	14	50	atLunarOvercomeBase	585	585	5	3	16	90	atLunarAttackPowerBase	629	629	5	3	18	108									5	0			
2374	彩·杯雪·大化·霜冷(壹)	31945		atLunarCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atLunarAttackPowerBase	105	105	5	3	8	57									5	13946			
2375	彩·杯雪·大化·霜冷(贰)	31946		atLunarCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atLunarAttackPowerBase	210	210	5	3	10	62									5	13947			
2376	彩·杯雪·大化·霜冷(叁)	31947		atLunarCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atLunarAttackPowerBase	314	314	5	3	12	67									5	13948			
2377	彩·杯雪·大化·霜冷(肆)	31948		atLunarCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atLunarAttackPowerBase	419	419	5	3	14	72									5	13949			
2378	彩·杯雪·大化·霜冷(伍)	31949		atLunarCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atLunarAttackPowerBase	524	524	5	3	16	90									5	13950			
2379	彩·杯雪·大化·霜冷(陆)	31950		atLunarCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atLunarAttackPowerBase	629	629	5	3	18	108									5	0			
2380	彩·杯雪·大化·冻髓(壹)	31951		atLunarCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atLunarOvercomeBase	195	195	5	3	8	57									5	13952			
2381	彩·杯雪·大化·冻髓(贰)	31952		atLunarCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atLunarOvercomeBase	390	390	5	3	10	62									5	13953			
2382	彩·杯雪·大化·冻髓(叁)	31953		atLunarCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atLunarOvercomeBase	585	585	5	3	12	67									5	13954			
2383	彩·杯雪·大化·冻髓(肆)	31954		atLunarCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atLunarOvercomeBase	780	780	5	3	14	72									5	13955			
2384	彩·杯雪·大化·冻髓(伍)	31955		atLunarCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atLunarOvercomeBase	975	975	5	3	16	90									5	13956			
2385	彩·杯雪·大化·冻髓(陆)	31956		atLunarCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atLunarOvercomeBase	1170	1170	5	3	18	108									5	0			
2386	彩·穿石·鹤顶·腐心(壹)	31957		atPoisonCriticalDamagePowerBase	49	49	0	5	3	5	10	atPoisonAttackPowerBase	52	52	5	3	6	45	atPoisonOvercomeBase	195	195	5	3	8	57									5	13958			
2387	彩·穿石·鹤顶·腐心(贰)	31958		atPoisonCriticalDamagePowerBase	98	98	0	5	3	7	20	atPoisonAttackPowerBase	105	105	5	3	8	50	atPoisonOvercomeBase	390	390	5	3	10	62									5	13959			
2388	彩·穿石·鹤顶·腐心(叁)	31959		atPoisonCriticalDamagePowerBase	146	146	0	5	3	9	30	atPoisonAttackPowerBase	157	157	5	3	10	55	atPoisonOvercomeBase	585	585	5	3	12	67									5	13960			
2389	彩·穿石·鹤顶·腐心(肆)	31960		atPoisonCriticalDamagePowerBase	195	195	0	5	3	11	40	atPoisonAttackPowerBase	210	210	5	3	12	60	atPoisonOvercomeBase	780	780	5	3	14	72									5	13961			
2390	彩·穿石·鹤顶·腐心(伍)	31961		atPoisonCriticalDamagePowerBase	244	244	0	5	3	13	45	atPoisonAttackPowerBase	262	262	5	3	14	75	atPoisonOvercomeBase	975	975	5	3	16	90									5	13962			
2391	彩·穿石·鹤顶·腐心(陆)	31962		atPoisonCriticalDamagePowerBase	293	293	0	5	3	14	50	atPoisonAttackPowerBase	314	314	5	3	16	90	atPoisonOvercomeBase	1170	1170	5	3	18	108									5	0			
2392	彩·穿石·腐心·鹤顶(壹)	31963		atPoisonCriticalDamagePowerBase	49	49	0	5	3	5	10	atPoisonOvercomeBase	98	98	5	3	6	45	atPoisonAttackPowerBase	105	105	5	3	8	57									5	13964			
2393	彩·穿石·腐心·鹤顶(贰)	31964		atPoisonCriticalDamagePowerBase	98	98	0	5	3	7	20	atPoisonOvercomeBase	195	195	5	3	8	50	atPoisonAttackPowerBase	210	210	5	3	10	62									5	13965			
2394	彩·穿石·腐心·鹤顶(叁)	31965		atPoisonCriticalDamagePowerBase	146	146	0	5	3	9	30	atPoisonOvercomeBase	293	293	5	3	10	55	atPoisonAttackPowerBase	314	314	5	3	12	67									5	13966			
2395	彩·穿石·腐心·鹤顶(肆)	31966		atPoisonCriticalDamagePowerBase	195	195	0	5	3	11	40	atPoisonOvercomeBase	390	390	5	3	12	60	atPoisonAttackPowerBase	419	419	5	3	14	72									5	13967			
2396	彩·穿石·腐心·鹤顶(伍)	31967		atPoisonCriticalDamagePowerBase	244	244	0	5	3	13	45	atPoisonOvercomeBase	488	488	5	3	14	75	atPoisonAttackPowerBase	524	524	5	3	16	90									5	13968			
2397	彩·穿石·腐心·鹤顶(陆)	31968		atPoisonCriticalDamagePowerBase	293	293	0	5	3	14	50	atPoisonOvercomeBase	585	585	5	3	16	90	atPoisonAttackPowerBase	629	629	5	3	18	108									5	0			
2398	彩·穿石·大化·鹤顶(壹)	31969		atPoisonCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atPoisonAttackPowerBase	105	105	5	3	8	57									5	13970			
2399	彩·穿石·大化·鹤顶(贰)	31970		atPoisonCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atPoisonAttackPowerBase	210	210	5	3	10	62									5	13971			
2400	彩·穿石·大化·鹤顶(叁)	31971		atPoisonCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atPoisonAttackPowerBase	314	314	5	3	12	67									5	13972			
2401	彩·穿石·大化·鹤顶(肆)	31972		atPoisonCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atPoisonAttackPowerBase	419	419	5	3	14	72									5	13973			
2402	彩·穿石·大化·鹤顶(伍)	31973		atPoisonCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atPoisonAttackPowerBase	524	524	5	3	16	90									5	13974			
2403	彩·穿石·大化·鹤顶(陆)	31974		atPoisonCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atPoisonAttackPowerBase	629	629	5	3	18	108									5	0			
2404	彩·穿石·大化·腐心(壹)	31975		atPoisonCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atPoisonOvercomeBase	195	195	5	3	8	57									5	13976			
2405	彩·穿石·大化·腐心(贰)	31976		atPoisonCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atPoisonOvercomeBase	390	390	5	3	10	62									5	13977			
2406	彩·穿石·大化·腐心(叁)	31977		atPoisonCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atPoisonOvercomeBase	585	585	5	3	12	67									5	13978			
2407	彩·穿石·大化·腐心(肆)	31978		atPoisonCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atPoisonOvercomeBase	780	780	5	3	14	72									5	13979			
2408	彩·穿石·大化·腐心(伍)	31979		atPoisonCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atPoisonOvercomeBase	975	975	5	3	16	90									5	13980			
2409	彩·穿石·大化·腐心(陆)	31980		atPoisonCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atPoisonOvercomeBase	1170	1170	5	3	18	108									5	0			
2410	彩·月华·激流·灭气(壹)	31981		atMagicCriticalDamagePowerBase	49	49	0	5	3	5	10	atMagicAttackPowerBase	52	52	5	3	6	45	atMagicOvercome	195	195	5	3	8	57									5	13982			
2411	彩·月华·激流·灭气(贰)	31982		atMagicCriticalDamagePowerBase	98	98	0	5	3	7	20	atMagicAttackPowerBase	105	105	5	3	8	50	atMagicOvercome	390	390	5	3	10	62									5	13983			
2412	彩·月华·激流·灭气(叁)	31983		atMagicCriticalDamagePowerBase	146	146	0	5	3	9	30	atMagicAttackPowerBase	157	157	5	3	10	55	atMagicOvercome	585	585	5	3	12	67									5	13984			
2413	彩·月华·激流·灭气(肆)	31984		atMagicCriticalDamagePowerBase	195	195	0	5	3	11	40	atMagicAttackPowerBase	210	210	5	3	12	60	atMagicOvercome	780	780	5	3	14	72									5	13985			
2414	彩·月华·激流·灭气(伍)	31985		atMagicCriticalDamagePowerBase	244	244	0	5	3	13	45	atMagicAttackPowerBase	262	262	5	3	14	75	atMagicOvercome	975	975	5	3	16	90									5	13986			
2415	彩·月华·激流·灭气(陆)	31986		atMagicCriticalDamagePowerBase	293	293	0	5	3	14	50	atMagicAttackPowerBase	314	314	5	3	16	90	atMagicOvercome	1170	1170	5	3	18	108									5	0			
2416	彩·月华·灭气·激流(壹)	31987		atMagicCriticalDamagePowerBase	49	49	0	5	3	5	10	atMagicOvercome	98	98	5	3	6	45	atMagicAttackPowerBase	105	105	5	3	8	57									5	13988			
2417	彩·月华·灭气·激流(贰)	31988		atMagicCriticalDamagePowerBase	98	98	0	5	3	7	20	atMagicOvercome	195	195	5	3	8	50	atMagicAttackPowerBase	210	210	5	3	10	62									5	13989			
2418	彩·月华·灭气·激流(叁)	31989		atMagicCriticalDamagePowerBase	146	146	0	5	3	9	30	atMagicOvercome	293	293	5	3	10	55	atMagicAttackPowerBase	314	314	5	3	12	67									5	13990			
2419	彩·月华·灭气·激流(肆)	31990		atMagicCriticalDamagePowerBase	195	195	0	5	3	11	40	atMagicOvercome	390	390	5	3	12	60	atMagicAttackPowerBase	419	419	5	3	14	72									5	13991			
2420	彩·月华·灭气·激流(伍)	31991		atMagicCriticalDamagePowerBase	244	244	0	5	3	13	45	atMagicOvercome	488	488	5	3	14	75	atMagicAttackPowerBase	524	524	5	3	16	90									5	13992			
2421	彩·月华·灭气·激流(陆)	31992		atMagicCriticalDamagePowerBase	293	293	0	5	3	14	50	atMagicOvercome	585	585	5	3	16	90	atMagicAttackPowerBase	629	629	5	3	18	108									5	0			
2422	彩·月华·大化·激流(壹)	31993		atMagicCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atMagicAttackPowerBase	105	105	5	3	8	57									5	13994			
2423	彩·月华·大化·激流(贰)	31994		atMagicCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atMagicAttackPowerBase	210	210	5	3	10	62									5	13995			
2424	彩·月华·大化·激流(叁)	31995		atMagicCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atMagicAttackPowerBase	314	314	5	3	12	67									5	13996			
2425	彩·月华·大化·激流(肆)	31996		atMagicCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atMagicAttackPowerBase	419	419	5	3	14	72									5	13997			
2426	彩·月华·大化·激流(伍)	31997		atMagicCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atMagicAttackPowerBase	524	524	5	3	16	90									5	13998			
2427	彩·月华·大化·激流(陆)	31998		atMagicCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atMagicAttackPowerBase	629	629	5	3	18	108									5	0			
2428	彩·月华·大化·灭气(壹)	31999		atMagicCriticalDamagePowerBase	49	49	0	5	3	5	10	atDecriticalDamagePowerBase	49	49	5	3	6	45	atMagicOvercome	195	195	5	3	8	57									5	14000			
2429	彩·月华·大化·灭气(贰)	32000		atMagicCriticalDamagePowerBase	98	98	0	5	3	7	20	atDecriticalDamagePowerBase	98	98	5	3	8	50	atMagicOvercome	390	390	5	3	10	62									5	14001			
2430	彩·月华·大化·灭气(叁)	32001		atMagicCriticalDamagePowerBase	146	146	0	5	3	9	30	atDecriticalDamagePowerBase	146	146	5	3	10	55	atMagicOvercome	585	585	5	3	12	67									5	14002			
2431	彩·月华·大化·灭气(肆)	32002		atMagicCriticalDamagePowerBase	195	195	0	5	3	11	40	atDecriticalDamagePowerBase	195	195	5	3	12	60	atMagicOvercome	780	780	5	3	14	72									5	14003			
2432	彩·月华·大化·灭气(伍)	32003		atMagicCriticalDamagePowerBase	244	244	0	5	3	13	45	atDecriticalDamagePowerBase	244	244	5	3	14	75	atMagicOvercome	975	975	5	3	16	90									5	14004			
2433	彩·月华·大化·灭气(陆)	32004		atMagicCriticalDamagePowerBase	293	293	0	5	3	14	50	atDecriticalDamagePowerBase	293	293	5	3	16	90	atMagicOvercome	1170	1170	5	3	18	108									5	0			
2434	彩·破招·烈阳·日炎(壹)	32005		atSurplusValueBase	49	49	0	5	3	5	10	atSolarAttackPowerBase	52	52	5	3	6	45	atSolarOvercomeBase	195	195	5	3	8	57									5	14006			
2435	彩·破招·烈阳·日炎(贰)	32006		atSurplusValueBase	98	98	0	5	3	7	20	atSolarAttackPowerBase	105	105	5	3	8	50	atSolarOvercomeBase	390	390	5	3	10	62									5	14007			
2436	彩·破招·烈阳·日炎(叁)	32007		atSurplusValueBase	146	146	0	5	3	9	30	atSolarAttackPowerBase	157	157	5	3	10	55	atSolarOvercomeBase	585	585	5	3	12	67									5	14008			
2437	彩·破招·烈阳·日炎(肆)	32008		atSurplusValueBase	195	195	0	5	3	11	40	atSolarAttackPowerBase	210	210	5	3	12	60	atSolarOvercomeBase	780	780	5	3	14	72									5	14009			
2438	彩·破招·烈阳·日炎(伍)	32009		atSurplusValueBase	244	244	0	5	3	13	45	atSolarAttackPowerBase	262	262	5	3	14	75	atSolarOvercomeBase	975	975	5	3	16	90									5	14010			
2439	彩·破招·烈阳·日炎(陆)	32010		atSurplusValueBase	293	293	0	5	3	14	50	atSolarAttackPowerBase	314	314	5	3	16	90	atSolarOvercomeBase	1170	1170	5	3	18	108									5	0			
