ID	Value	ModifyType	Param1Min	Param1Max	Param2Min	Param2Max	Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10
4219	0	atPhysicsOvercomeBase	926	926	0	0	0	0	0	0	0	0	0	0	0	0
4220	0	atSpiritBase	143	143	0	0	0	0	0	0	0	0	0	0	0	0
4221	0	atNeutralAttackPowerBase	412	412	0	0	0	0	0	0	0	0	0	0	0	0
4222	0	atPhysicsAttackPowerBase	227	227	0	0	0	0	0	0	0	0	0	0	0	0
4223	0	atPhysicsHitValue	157	157	0	0	0	0	0	0	0	0	0	0	0	0
4224	0	atPhysicsCriticalStrike	346	346	0	0	0	0	0	0	0	0	0	0	0	0
4225	0	atStrainBase	116	116	0	0	0	0	0	0	0	0	0	0	0	0
4226	0	atNeutralAttackPowerBase	323	323	0	0	0	0	0	0	0	0	0	0	0	0
4227	0	atPhysicsAttackPowerBase	172	172	0	0	0	0	0	0	0	0	0	0	0	0
4228	0	atPhysicsOvercomeBase	898	898	0	0	0	0	0	0	0	0	0	0	0	0
4229	0	atPhysicsAttackPowerBase	223	223	0	0	0	0	0	0	0	0	0	0	0	0
4230	0	atPhysicsOvercomeBase	942	942	0	0	0	0	0	0	0	0	0	0	0	0
4231	0	atSpiritBase	145	145	0	0	0	0	0	0	0	0	0	0	0	0
4232	0	atNeutralAttackPowerBase	420	420	0	0	0	0	0	0	0	0	0	0	0	0
4233	0	atPhysicsOvercomeBase	959	959	0	0	0	0	0	0	0	0	0	0	0	0
4234	0	atSpiritBase	148	148	0	0	0	0	0	0	0	0	0	0	0	0
4235	0	atSpunkBase	72	72	0	0	0	0	0	0	0	0	0	0	0	0
4236	0	atNeutralAttackPowerBase	427	427	0	0	0	0	0	0	0	0	0	0	0	0
4237	0	atNeutralCriticalStrike	319	319	0	0	0	0	0	0	0	0	0	0	0	0
4238	0	atPhysicsCriticalStrike	247	247	0	0	0	0	0	0	0	0	0	0	0	0
4239	0	atPhysicsOvercomeBase	1155	1155	0	0	0	0	0	0	0	0	0	0	0	0
4240	0	atPhysicsAttackPowerBase	231	231	0	0	0	0	0	0	0	0	0	0	0	0
4241	0	atPhysicsOvercomeBase	975	975	0	0	0	0	0	0	0	0	0	0	0	0
4242	0	atNeutralCriticalStrike	325	325	0	0	0	0	0	0	0	0	0	0	0	0
4243	0	atPhysicsCriticalStrike	251	251	0	0	0	0	0	0	0	0	0	0	0	0
4244	0	atPhysicsOvercomeBase	1175	1175	0	0	0	0	0	0	0	0	0	0	0	0
4245	0	atNeutralCriticalStrike	330	330	0	0	0	0	0	0	0	0	0	0	0	0
4246	0	atSpiritBase	151	151	0	0	0	0	0	0	0	0	0	0	0	0
4247	0	atPhysicsCriticalStrike	255	255	0	0	0	0	0	0	0	0	0	0	0	0
4248	0	atPhysicsOvercomeBase	1194	1194	0	0	0	0	0	0	0	0	0	0	0	0
4249	0	atNeutralAttackPowerBase	393	393	0	0	0	0	0	0	0	0	0	0	0	0
4250	0	atDecriticalDamagePowerBase	228	228	0	0	0	0	0	0	0	0	0	0	0	0
4251	0	atPhysicsAttackPowerBase	202	202	0	0	0	0	0	0	0	0	0	0	0	0
4252	0	atSpiritBase	173	173	0	0	0	0	0	0	0	0	0	0	0	0
4253	0	atNeutralCriticalStrike	336	336	0	0	0	0	0	0	0	0	0	0	0	0
4254	0	atPhysicsCriticalStrike	259	259	0	0	0	0	0	0	0	0	0	0	0	0
4255	0	atPhysicsOvercomeBase	1214	1214	0	0	0	0	0	0	0	0	0	0	0	0
4256	0	atSpunkBase	62	62	0	0	0	0	0	0	0	0	0	0	0	0
4257	0	atToughnessBase	307	307	0	0	0	0	0	0	0	0	0	0	0	0
4258	0	atDecriticalDamagePowerBase	389	389	0	0	0	0	0	0	0	0	0	0	0	0
4259	0	atNeutralCriticalStrike	342	342	0	0	0	0	0	0	0	0	0	0	0	0
4260	0	atToughnessBase	312	312	0	0	0	0	0	0	0	0	0	0	0	0
4261	0	atNeutralOvercomeBase	55	55	0	0	0	0	0	0	0	0	0	0	0	0
4262	0	atDecriticalDamagePowerBase	395	395	0	0	0	0	0	0	0	0	0	0	0	0
4263	0	atNeutralCriticalStrike	347	347	0	0	0	0	0	0	0	0	0	0	0	0
4264	0	atToughnessBase	317	317	0	0	0	0	0	0	0	0	0	0	0	0
4265	0	atNeutralOvercomeBase	56	56	0	0	0	0	0	0	0	0	0	0	0	0
4266	0	atDecriticalDamagePowerBase	401	401	0	0	0	0	0	0	0	0	0	0	0	0
4267	0	atStrengthBase	82	82	0	0	0	0	0	0	0	0	0	0	0	0
4268	0	atPhysicsAttackPowerBase	252	252	0	0	0	0	0	0	0	0	0	0	0	0
4269	0	atStrainBase	107	107	0	0	0	0	0	0	0	0	0	0	0	0
4270	0	atPhysicsOvercomeBase	1318	1318	0	0	0	0	0	0	0	0	0	0	0	0
4271	0	atStrengthBase	83	83	0	0	0	0	0	0	0	0	0	0	0	0
4272	0	atPhysicsAttackPowerBase	256	256	0	0	0	0	0	0	0	0	0	0	0	0
4273	0	atStrainBase	108	108	0	0	0	0	0	0	0	0	0	0	0	0
4274	0	atPhysicsOvercomeBase	1338	1338	0	0	0	0	0	0	0	0	0	0	0	0
4275	0	atSpiritBase	239	239	0	0	0	0	0	0	0	0	0	0	0	0
4276	0	atSpiritBase	207	207	0	0	0	0	0	0	0	0	0	0	0	0
4277	0	atAgilityBase	88	88	0	0	0	0	0	0	0	0	0	0	0	0
4278	0	atPhysicsCriticalStrike	258	258	0	0	0	0	0	0	0	0	0	0	0	0
4279	0	atPhysicsOvercomeBase	1447	1447	0	0	0	0	0	0	0	0	0	0	0	0
4280	0	atPhysicsAttackPowerBase	260	260	0	0	0	0	0	0	0	0	0	0	0	0
4281	0	atPhysicsOvercomeBase	1359	1359	0	0	0	0	0	0	0	0	0	0	0	0
4282	0	atNeutralCriticalStrike	470	470	0	0	0	0	0	0	0	0	0	0	0	0
4283	0	atNeutralOvercomeBase	57	57	0	0	0	0	0	0	0	0	0	0	0	0
4284	0	atSpiritBase	210	210	0	0	0	0	0	0	0	0	0	0	0	0
4285	0	atAgilityBase	89	89	0	0	0	0	0	0	0	0	0	0	0	0
4286	0	atPhysicsOvercomeBase	1469	1469	0	0	0	0	0	0	0	0	0	0	0	0
4287	0	atSpiritBase	246	246	0	0	0	0	0	0	0	0	0	0	0	0
4288	0	atNeutralCriticalStrike	477	477	0	0	0	0	0	0	0	0	0	0	0	0
4289	0	atNeutralOvercomeBase	58	58	0	0	0	0	0	0	0	0	0	0	0	0
4290	0	atSpiritBase	213	213	0	0	0	0	0	0	0	0	0	0	0	0
4291	0	atAgilityBase	91	91	0	0	0	0	0	0	0	0	0	0	0	0
4292	0	atPhysicsCriticalStrike	266	266	0	0	0	0	0	0	0	0	0	0	0	0
4293	0	atPhysicsOvercomeBase	1491	1491	0	0	0	0	0	0	0	0	0	0	0	0
4294	0	atSpiritBase	250	250	0	0	0	0	0	0	0	0	0	0	0	0
4295	0	atNeutralCriticalStrike	484	484	0	0	0	0	0	0	0	0	0	0	0	0
4296	0	atNeutralOvercomeBase	59	59	0	0	0	0	0	0	0	0	0	0	0	0
4297	0	atSpiritBase	216	216	0	0	0	0	0	0	0	0	0	0	0	0
4298	0	atAgilityBase	92	92	0	0	0	0	0	0	0	0	0	0	0	0
4299	0	atPhysicsCriticalStrike	270	270	0	0	0	0	0	0	0	0	0	0	0	0
4300	0	atPhysicsOvercomeBase	1512	1512	0	0	0	0	0	0	0	0	0	0	0	0
4301	0	atSpunkBase	86	86	0	0	0	0	0	0	0	0	0	0	0	0
4302	0	atNeutralAttackPowerBase	534	534	0	0	0	0	0	0	0	0	0	0	0	0
4303	0	atSpiritBase	166	166	0	0	0	0	0	0	0	0	0	0	0	0
4304	0	atNeutralAttackPowerBase	542	542	0	0	0	0	0	0	0	0	0	0	0	0
4305	0	atSpunkBase	89	89	0	0	0	0	0	0	0	0	0	0	0	0
4306	0	atNeutralAttackPowerBase	549	549	0	0	0	0	0	0	0	0	0	0	0	0
4307	0	atPhysicsAttackPowerBase	292	292	0	0	0	0	0	0	0	0	0	0	0	0
4308	0	atPhysicsHitValue	201	201	0	0	0	0	0	0	0	0	0	0	0	0
4309	0	atStrainBase	119	119	0	0	0	0	0	0	0	0	0	0	0	0
4310	0	atStrengthBase	87	87	0	0	0	0	0	0	0	0	0	0	0	0
4311	0	atAgilityBase	75	75	0	0	0	0	0	0	0	0	0	0	0	0
4312	0	atPhysicsAttackPowerBase	296	296	0	0	0	0	0	0	0	0	0	0	0	0
4313	0	atPhysicsHitValue	204	204	0	0	0	0	0	0	0	0	0	0	0	0
4314	0	atStrainBase	121	121	0	0	0	0	0	0	0	0	0	0	0	0
4315	0	atStrengthBase	88	88	0	0	0	0	0	0	0	0	0	0	0	0
4316	0	atPhysicsAttackPowerBase	300	300	0	0	0	0	0	0	0	0	0	0	0	0
4317	0	atPhysicsHitValue	207	207	0	0	0	0	0	0	0	0	0	0	0	0
4318	0	atStrainBase	122	122	0	0	0	0	0	0	0	0	0	0	0	0
4319	0	atPhysicsAttackPowerBase	301	301	0	0	0	0	0	0	0	0	0	0	0	0
4320	0	atPhysicsHitValue	169	169	0	0	0	0	0	0	0	0	0	0	0	0
4321	0	atSpiritBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
4322	0	atNeutralAttackPowerBase	544	544	0	0	0	0	0	0	0	0	0	0	0	0
4323	0	atVitalityBase	110	110	0	0	0	0	0	0	0	0	0	0	0	0
4324	0	atSpiritBase	176	176	0	0	0	0	0	0	0	0	0	0	0	0
4325	0	atNeutralCriticalStrike	418	418	0	0	0	0	0	0	0	0	0	0	0	0
4326	0	atToughnessBase	381	381	0	0	0	0	0	0	0	0	0	0	0	0
4327	0	atNeutralOvercomeBase	68	68	0	0	0	0	0	0	0	0	0	0	0	0
4328	0	atDecriticalDamagePowerBase	483	483	0	0	0	0	0	0	0	0	0	0	0	0
4329	0	atPhysicsCriticalStrike	359	359	0	0	0	0	0	0	0	0	0	0	0	0
4330	0	atToughnessBase	387	387	0	0	0	0	0	0	0	0	0	0	0	0
4331	0	atPhysicsOvercomeBase	1880	1880	0	0	0	0	0	0	0	0	0	0	0	0
4332	0	atDecriticalDamagePowerBase	491	491	0	0	0	0	0	0	0	0	0	0	0	0
4333	0	atPhysicsAttackPowerBase	305	305	0	0	0	0	0	0	0	0	0	0	0	0
4334	0	atPhysicsHitValue	171	171	0	0	0	0	0	0	0	0	0	0	0	0
4335	0	atNeutralAttackPowerBase	551	551	0	0	0	0	0	0	0	0	0	0	0	0
4336	0	atSpiritBase	178	178	0	0	0	0	0	0	0	0	0	0	0	0
4337	0	atNeutralCriticalStrike	423	423	0	0	0	0	0	0	0	0	0	0	0	0
4338	0	atToughnessBase	386	386	0	0	0	0	0	0	0	0	0	0	0	0
4339	0	atNeutralOvercomeBase	69	69	0	0	0	0	0	0	0	0	0	0	0	0
4340	0	atDecriticalDamagePowerBase	489	489	0	0	0	0	0	0	0	0	0	0	0	0
4341	0	atPhysicsCriticalStrike	363	363	0	0	0	0	0	0	0	0	0	0	0	0
4342	0	atToughnessBase	392	392	0	0	0	0	0	0	0	0	0	0	0	0
4343	0	atPhysicsOvercomeBase	1904	1904	0	0	0	0	0	0	0	0	0	0	0	0
4344	0	atDecriticalDamagePowerBase	497	497	0	0	0	0	0	0	0	0	0	0	0	0
4345	0	atPhysicsAttackPowerBase	309	309	0	0	0	0	0	0	0	0	0	0	0	0
4346	0	atNeutralAttackPowerBase	558	558	0	0	0	0	0	0	0	0	0	0	0	0
4347	0	atSpiritBase	180	180	0	0	0	0	0	0	0	0	0	0	0	0
4348	0	atNeutralCriticalStrike	429	429	0	0	0	0	0	0	0	0	0	0	0	0
4349	0	atToughnessBase	391	391	0	0	0	0	0	0	0	0	0	0	0	0
4350	0	atDecriticalDamagePowerBase	495	495	0	0	0	0	0	0	0	0	0	0	0	0
4351	0	atPhysicsCriticalStrike	368	368	0	0	0	0	0	0	0	0	0	0	0	0
4352	0	atToughnessBase	397	397	0	0	0	0	0	0	0	0	0	0	0	0
4353	0	atPhysicsOvercomeBase	1928	1928	0	0	0	0	0	0	0	0	0	0	0	0
4354	0	atDecriticalDamagePowerBase	503	503	0	0	0	0	0	0	0	0	0	0	0	0
4355	0	atPhysicsCriticalDamagePowerBase	593	593	0	0	0	0	0	0	0	0	0	0	0	0
4356	0	atNeutralCriticalStrike	723	723	0	0	0	0	0	0	0	0	0	0	0	0
4357	0	atAgilityBase	94	94	0	0	0	0	0	0	0	0	0	0	0	0
4358	0	atPhysicsCriticalDamagePowerBase	614	614	0	0	0	0	0	0	0	0	0	0	0	0
4359	0	atPhysicsCriticalStrike	509	509	0	0	0	0	0	0	0	0	0	0	0	0
4360	0	atStrainBase	172	172	0	0	0	0	0	0	0	0	0	0	0	0
4361	0	atSpiritBase	249	249	0	0	0	0	0	0	0	0	0	0	0	0
4362	0	atPhysicsCriticalDamagePowerBase	600	600	0	0	0	0	0	0	0	0	0	0	0	0
4363	0	atNeutralCriticalStrike	732	732	0	0	0	0	0	0	0	0	0	0	0	0
4364	0	atStrainBase	168	168	0	0	0	0	0	0	0	0	0	0	0	0
4365	0	atStrengthBase	78	78	0	0	0	0	0	0	0	0	0	0	0	0
4366	0	atAgilityBase	95	95	0	0	0	0	0	0	0	0	0	0	0	0
4367	0	atPhysicsCriticalDamagePowerBase	622	622	0	0	0	0	0	0	0	0	0	0	0	0
4368	0	atPhysicsCriticalStrike	516	516	0	0	0	0	0	0	0	0	0	0	0	0
4369	0	atStrainBase	174	174	0	0	0	0	0	0	0	0	0	0	0	0
4370	0	atSpiritBase	252	252	0	0	0	0	0	0	0	0	0	0	0	0
4371	0	atPhysicsCriticalDamagePowerBase	608	608	0	0	0	0	0	0	0	0	0	0	0	0
4372	0	atNeutralCriticalStrike	741	741	0	0	0	0	0	0	0	0	0	0	0	0
4373	0	atSpiritBase	219	219	0	0	0	0	0	0	0	0	0	0	0	0
4374	0	atStrengthBase	79	79	0	0	0	0	0	0	0	0	0	0	0	0
4375	0	atAgilityBase	96	96	0	0	0	0	0	0	0	0	0	0	0	0
4376	0	atPhysicsCriticalDamagePowerBase	630	630	0	0	0	0	0	0	0	0	0	0	0	0
4377	0	atPhysicsCriticalStrike	522	522	0	0	0	0	0	0	0	0	0	0	0	0
4378	0	atStrainBase	177	177	0	0	0	0	0	0	0	0	0	0	0	0
4379	0	atPhysicsAttackPowerBase	117	117	0	0	0	0	0	0	0	0	0	0	0	0
4380	0	atPhysicsAttackPowerBase	120	120	0	0	0	0	0	0	0	0	0	0	0	0
4381	0	atPhysicsShieldBase	1318	1318	0	0	0	0	0	0	0	0	0	0	0	0
4382	0	atPhysicsShieldBase	1346	1346	0	0	0	0	0	0	0	0	0	0	0	0
4383	0	atPhysicsShieldBase	1374	1374	0	0	0	0	0	0	0	0	0	0	0	0
4384	0	atPhysicsOvercomeBase	649	649	0	0	0	0	0	0	0	0	0	0	0	0
4385	0	atPhysicsAttackPowerBase	176	176	0	0	0	0	0	0	0	0	0	0	0	0
4386	0	atPhysicsOvercomeBase	688	688	0	0	0	0	0	0	0	0	0	0	0	0
4387	0	atPhysicsShieldBase	970	970	0	0	0	0	0	0	0	0	0	0	0	0
4388	0	atParryBase	109	109	0	0	0	0	0	0	0	0	0	0	0	0
4389	0	atParryValueBase	152	152	0	0	0	0	0	0	0	0	0	0	0	0
4390	0	atPhysicsShieldBase	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0
4391	0	atPhysicsCriticalStrike	261	261	0	0	0	0	0	0	0	0	0	0	0	0
4392	0	atPhysicsAttackPowerBase	179	179	0	0	0	0	0	0	0	0	0	0	0	0
4393	0	atPhysicsOvercomeBase	701	701	0	0	0	0	0	0	0	0	0	0	0	0
4394	0	atPhysicsShieldBase	989	989	0	0	0	0	0	0	0	0	0	0	0	0
4395	0	atParryBase	111	111	0	0	0	0	0	0	0	0	0	0	0	0
4396	0	atParryValueBase	155	155	0	0	0	0	0	0	0	0	0	0	0	0
4397	0	atPhysicsShieldBase	1528	1528	0	0	0	0	0	0	0	0	0	0	0	0
4398	0	atPhysicsAttackPowerBase	182	182	0	0	0	0	0	0	0	0	0	0	0	0
4399	0	atPhysicsOvercomeBase	713	713	0	0	0	0	0	0	0	0	0	0	0	0
4400	0	atPhysicsShieldBase	1007	1007	0	0	0	0	0	0	0	0	0	0	0	0
4401	0	atParryBase	113	113	0	0	0	0	0	0	0	0	0	0	0	0
4402	0	atParryValueBase	158	158	0	0	0	0	0	0	0	0	0	0	0	0
4403	0	atPhysicsShieldBase	1556	1556	0	0	0	0	0	0	0	0	0	0	0	0
4404	0	atPhysicsCriticalStrike	271	271	0	0	0	0	0	0	0	0	0	0	0	0
4405	0	atPhysicsAttackPowerBase	237	237	0	0	0	0	0	0	0	0	0	0	0	0
4406	0	atPhysicsOvercomeBase	726	726	0	0	0	0	0	0	0	0	0	0	0	0
4407	0	atPhysicsShieldBase	1025	1025	0	0	0	0	0	0	0	0	0	0	0	0
4408	0	atParryBase	115	115	0	0	0	0	0	0	0	0	0	0	0	0
4409	0	atParryValueBase	160	160	0	0	0	0	0	0	0	0	0	0	0	0
4410	0	atPhysicsShieldBase	1584	1584	0	0	0	0	0	0	0	0	0	0	0	0
4411	0	atAgilityBase	59	59	0	0	0	0	0	0	0	0	0	0	0	0
4412	0	atVitalityBase	125	125	0	0	0	0	0	0	0	0	0	0	0	0
4413	0	atPhysicsAttackPowerBase	241	241	0	0	0	0	0	0	0	0	0	0	0	0
4414	0	atPhysicsAttackPowerBase	245	245	0	0	0	0	0	0	0	0	0	0	0	0
4415	0	atPhysicsShieldBase	1061	1061	0	0	0	0	0	0	0	0	0	0	0	0
4416	0	atParryBase	119	119	0	0	0	0	0	0	0	0	0	0	0	0
4417	0	atParryValueBase	166	166	0	0	0	0	0	0	0	0	0	0	0	0
4418	0	atPhysicsAttackPowerBase	192	192	0	0	0	0	0	0	0	0	0	0	0	0
4419	0	atPhysicsOvercomeBase	752	752	0	0	0	0	0	0	0	0	0	0	0	0
4420	0	atStrengthBase	89	89	0	0	0	0	0	0	0	0	0	0	0	0
4421	0	atPhysicsAttackPowerBase	249	249	0	0	0	0	0	0	0	0	0	0	0	0
4422	0	atPhysicsShieldBase	1079	1079	0	0	0	0	0	0	0	0	0	0	0	0
4423	0	atParryBase	121	121	0	0	0	0	0	0	0	0	0	0	0	0
4424	0	atParryValueBase	169	169	0	0	0	0	0	0	0	0	0	0	0	0
4425	0	atPhysicsAttackPowerBase	195	195	0	0	0	0	0	0	0	0	0	0	0	0
4426	0	atPhysicsOvercomeBase	765	765	0	0	0	0	0	0	0	0	0	0	0	0
4427	0	atVitalityBase	139	139	0	0	0	0	0	0	0	0	0	0	0	0
4428	0	atPhysicsShieldBase	1097	1097	0	0	0	0	0	0	0	0	0	0	0	0
4429	0	atParryBase	123	123	0	0	0	0	0	0	0	0	0	0	0	0
4430	0	atParryValueBase	172	172	0	0	0	0	0	0	0	0	0	0	0	0
4431	0	atPhysicsOvercomeBase	778	778	0	0	0	0	0	0	0	0	0	0	0	0
4432	0	atPhysicsAttackPowerBase	212	212	0	0	0	0	0	0	0	0	0	0	0	0
4433	0	atPhysicsShieldBase	1115	1115	0	0	0	0	0	0	0	0	0	0	0	0
4434	0	atParryBase	125	125	0	0	0	0	0	0	0	0	0	0	0	0
4435	0	atParryValueBase	175	175	0	0	0	0	0	0	0	0	0	0	0	0
4436	0	atPhysicsOvercomeBase	790	790	0	0	0	0	0	0	0	0	0	0	0	0
4437	0	atStrengthBase	99	99	0	0	0	0	0	0	0	0	0	0	0	0
4438	0	atPhysicsAttackPowerBase	262	262	0	0	0	0	0	0	0	0	0	0	0	0
4439	0	atPhysicsOvercomeBase	1025	1025	0	0	0	0	0	0	0	0	0	0	0	0
4440	0	atVitalityBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
4441	0	atPhysicsShieldBase	1446	1446	0	0	0	0	0	0	0	0	0	0	0	0
4442	0	atParryBase	162	162	0	0	0	0	0	0	0	0	0	0	0	0
4443	0	atParryValueBase	226	226	0	0	0	0	0	0	0	0	0	0	0	0
4444	0	atStrengthBase	101	101	0	0	0	0	0	0	0	0	0	0	0	0
4445	0	atPhysicsAttackPowerBase	266	266	0	0	0	0	0	0	0	0	0	0	0	0
4446	0	atPhysicsOvercomeBase	1041	1041	0	0	0	0	0	0	0	0	0	0	0	0
4447	0	atVitalityBase	187	187	0	0	0	0	0	0	0	0	0	0	0	0
4448	0	atPhysicsShieldBase	1469	1469	0	0	0	0	0	0	0	0	0	0	0	0
4449	0	atParryBase	164	164	0	0	0	0	0	0	0	0	0	0	0	0
4450	0	atParryValueBase	230	230	0	0	0	0	0	0	0	0	0	0	0	0
4451	0	atStrengthBase	103	103	0	0	0	0	0	0	0	0	0	0	0	0
4452	0	atPhysicsAttackPowerBase	270	270	0	0	0	0	0	0	0	0	0	0	0	0
4453	0	atPhysicsOvercomeBase	1058	1058	0	0	0	0	0	0	0	0	0	0	0	0
4454	0	atVitalityBase	189	189	0	0	0	0	0	0	0	0	0	0	0	0
4455	0	atPhysicsShieldBase	1492	1492	0	0	0	0	0	0	0	0	0	0	0	0
4456	0	atParryBase	167	167	0	0	0	0	0	0	0	0	0	0	0	0
4457	0	atParryValueBase	234	234	0	0	0	0	0	0	0	0	0	0	0	0
4458	0	atVitalityBase	196	196	0	0	0	0	0	0	0	0	0	0	0	0
4459	0	atAgilityBase	87	87	0	0	0	0	0	0	0	0	0	0	0	0
4460	0	atPhysicsShieldBase	2379	2379	0	0	0	0	0	0	0	0	0	0	0	0
4461	0	atPhysicsAttackPowerBase	279	279	0	0	0	0	0	0	0	0	0	0	0	0
4462	0	atPhysicsOvercomeBase	1090	1090	0	0	0	0	0	0	0	0	0	0	0	0
4463	0	atVitalityBase	199	199	0	0	0	0	0	0	0	0	0	0	0	0
4464	0	atPhysicsShieldBase	2415	2415	0	0	0	0	0	0	0	0	0	0	0	0
4465	0	atVitalityBase	147	147	0	0	0	0	0	0	0	0	0	0	0	0
4466	0	atPhysicsAttackPowerBase	283	283	0	0	0	0	0	0	0	0	0	0	0	0
4467	0	atPhysicsOvercomeBase	1107	1107	0	0	0	0	0	0	0	0	0	0	0	0
4468	0	atVitalityBase	202	202	0	0	0	0	0	0	0	0	0	0	0	0
4469	0	atAgilityBase	90	90	0	0	0	0	0	0	0	0	0	0	0	0
4470	0	atPhysicsShieldBase	2451	2451	0	0	0	0	0	0	0	0	0	0	0	0
4471	0	atVitalityBase	149	149	0	0	0	0	0	0	0	0	0	0	0	0
4472	0	atStrengthBase	102	102	0	0	0	0	0	0	0	0	0	0	0	0
4473	0	atPhysicsAttackPowerBase	287	287	0	0	0	0	0	0	0	0	0	0	0	0
4474	0	atPhysicsOvercomeBase	1123	1123	0	0	0	0	0	0	0	0	0	0	0	0
4475	0	atPhysicsShieldBase	2486	2486	0	0	0	0	0	0	0	0	0	0	0	0
4476	0	atVitalityBase	152	152	0	0	0	0	0	0	0	0	0	0	0	0
4477	0	atStrengthBase	104	104	0	0	0	0	0	0	0	0	0	0	0	0
4478	0	atPhysicsAttackPowerBase	291	291	0	0	0	0	0	0	0	0	0	0	0	0
4479	0	atPhysicsOvercomeBase	1140	1140	0	0	0	0	0	0	0	0	0	0	0	0
4480	0	atVitalityBase	206	206	0	0	0	0	0	0	0	0	0	0	0	0
4481	0	atSpiritBase	121	121	0	0	0	0	0	0	0	0	0	0	0	0
4482	0	atAgilityBase	72	72	0	0	0	0	0	0	0	0	0	0	0	0
4483	0	atPhysicsShieldBase	1620	1620	0	0	0	0	0	0	0	0	0	0	0	0
4484	0	atParryBase	181	181	0	0	0	0	0	0	0	0	0	0	0	0
4485	0	atParryValueBase	254	254	0	0	0	0	0	0	0	0	0	0	0	0
4486	0	atVitalityBase	209	209	0	0	0	0	0	0	0	0	0	0	0	0
4487	0	atPhysicsShieldBase	1643	1643	0	0	0	0	0	0	0	0	0	0	0	0
4488	0	atParryBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
4489	0	atParryValueBase	257	257	0	0	0	0	0	0	0	0	0	0	0	0
4490	0	atPhysicsShieldBase	1667	1667	0	0	0	0	0	0	0	0	0	0	0	0
4491	0	atParryBase	187	187	0	0	0	0	0	0	0	0	0	0	0	0
4492	0	atParryValueBase	261	261	0	0	0	0	0	0	0	0	0	0	0	0
4493	0	atStrengthBase	108	108	0	0	0	0	0	0	0	0	0	0	0	0
4494	0	atPhysicsCriticalStrike	347	347	0	0	0	0	0	0	0	0	0	0	0	0
4495	0	atPhysicsAttackPowerBase	318	318	0	0	0	0	0	0	0	0	0	0	0	0
4496	0	atStrengthBase	110	110	0	0	0	0	0	0	0	0	0	0	0	0
4497	0	atPhysicsCriticalStrike	352	352	0	0	0	0	0	0	0	0	0	0	0	0
4498	0	atPhysicsAttackPowerBase	323	323	0	0	0	0	0	0	0	0	0	0	0	0
4499	0	atStrengthBase	111	111	0	0	0	0	0	0	0	0	0	0	0	0
4500	0	atPhysicsCriticalStrike	357	357	0	0	0	0	0	0	0	0	0	0	0	0
4501	0	atPhysicsAttackPowerBase	327	327	0	0	0	0	0	0	0	0	0	0	0	0
4502	0	atAgilityBase	100	100	0	0	0	0	0	0	0	0	0	0	0	0
4503	0	atPhysicsShieldBase	2738	2738	0	0	0	0	0	0	0	0	0	0	0	0
4504	0	atStrengthBase	116	116	0	0	0	0	0	0	0	0	0	0	0	0
4505	0	atPhysicsCriticalStrike	371	371	0	0	0	0	0	0	0	0	0	0	0	0
4506	0	atPhysicsAttackPowerBase	340	340	0	0	0	0	0	0	0	0	0	0	0	0
4507	0	atPhysicsHitValue	215	215	0	0	0	0	0	0	0	0	0	0	0	0
4508	0	atVitalityBase	228	228	0	0	0	0	0	0	0	0	0	0	0	0
4509	0	atAgilityBase	101	101	0	0	0	0	0	0	0	0	0	0	0	0
4510	0	atPhysicsShieldBase	2774	2774	0	0	0	0	0	0	0	0	0	0	0	0
4511	0	atStrengthBase	95	95	0	0	0	0	0	0	0	0	0	0	0	0
4512	0	atPhysicsAttackPowerBase	267	267	0	0	0	0	0	0	0	0	0	0	0	0
4513	0	atPhysicsShieldBase	602	602	0	0	0	0	0	0	0	0	0	0	0	0
4514	0	atPhysicsOvercomeBase	1272	1272	0	0	0	0	0	0	0	0	0	0	0	0
4515	0	atAgilityBase	80	80	0	0	0	0	0	0	0	0	0	0	0	0
4516	0	atPhysicsShieldBase	1795	1795	0	0	0	0	0	0	0	0	0	0	0	0
4517	0	atParryBase	201	201	0	0	0	0	0	0	0	0	0	0	0	0
4518	0	atParryValueBase	281	281	0	0	0	0	0	0	0	0	0	0	0	0
4519	0	atStrengthBase	117	117	0	0	0	0	0	0	0	0	0	0	0	0
4520	0	atPhysicsCriticalStrike	376	376	0	0	0	0	0	0	0	0	0	0	0	0
4521	0	atPhysicsAttackPowerBase	345	345	0	0	0	0	0	0	0	0	0	0	0	0
4522	0	atPhysicsHitValue	218	218	0	0	0	0	0	0	0	0	0	0	0	0
4523	0	atVitalityBase	231	231	0	0	0	0	0	0	0	0	0	0	0	0
4524	0	atAgilityBase	103	103	0	0	0	0	0	0	0	0	0	0	0	0
4525	0	atPhysicsShieldBase	2810	2810	0	0	0	0	0	0	0	0	0	0	0	0
4526	0	atVitalityBase	174	174	0	0	0	0	0	0	0	0	0	0	0	0
4527	0	atPhysicsAttackPowerBase	271	271	0	0	0	0	0	0	0	0	0	0	0	0
4528	0	atPhysicsOvercomeBase	1288	1288	0	0	0	0	0	0	0	0	0	0	0	0
4529	0	atAgilityBase	81	81	0	0	0	0	0	0	0	0	0	0	0	0
